"8624,702"
"8784,78"
"8823,968"
"8915,107"
"9285,717"
"9353,708"
"9435,322"
"9448,127"
"9811,847"
"9923,54"
"9976,246"
"10229,82"
"10269,92"
"10288,11"
"10408,04"
"10461,5"
"10588,69"
"10577,6"
"10609,51"
"10748,63"
"8636,88"
"8752,212"
"8874,052"
"9031,91"
"9004,329"
"8996,027"
"9260,434"
"9255,433"
"9275,058"
"9617,632"
"9505,244"
"9465,024"
"9594,2"
"9656,661"
"9759,246"
"9801,759"
"9953,502"
"9896,292"
"10095,22"
"9945,766"
"8387,883"
"8500,012"
"8525,045"
"8603,254"
"8737,963"
"8788,826"
"8982,185"
"9251,455"
"9248,761"
"9238,321"
"9366,161"
"9431,085"
"9469,683"
"9477,279"
"9729,997"
"9754,67"
"9792,554"
"9916,791"
"9967,358"
"9967,81"

"9501,3143"
