"109,1214"
"102,6338"
"82,22523"
"80,03109"
"92,57217"
"81,31895"
"74,29587"
"73,42404"
74
"89,54581"
"89,55878"
"79,69221"
"71,34987"
"92,91753"
"99,57124"
"82,20156"
"72,68839"
"83,71693"
"80,58334"
"72,02128"
"63,99052"
"64,46767"
"64,47891"
"64,83701"
"71,04571"
"64,96095"
"64,87972"
"74,86333"
"63,70532"
"72,3185"
"63,3415"
"74,21667"
"63,35188"
"72,87943"
"69,15459"
"82,60333"
"74,37363"
"74,50771"
"84,48169"
"73,06082"
"73,30682"
"66,22548"
"69,53423"
"75,00557"
"64,93939"
"66,96165"
"74,8405"
"82,28968"
"57,57049"
"95,22646"
"94,34586"
"82,69405"
"89,87115"
"73,69388"
"94,68176"
"78,564"
"75,67232"
"87,15567"
"74,9931"
"77,53137"
"87,15094"
"95,5855"
"88,91866"
"79,32959"
"80,0872"
"76,4513"
"79,05493"
"88,53096"
"79,15014"
"90,35193"
"99,33016"
"77,29014"
"81,42877"
"81,28571"
"87,77493"
"86,86974"
"82,72998"
"86,47691"
"115,2195"
"93,43677"
"78,04918"
"79,28373"
"80,89073"
"103,5812"
"91,02493"
"103,4258"
"90,34406"
"99,6563"
"90,08755"
"89,57204"
"88,8675"
"81,23588"
"74,86928"
"91,25343"
"120,7004"
"82,60516"
"82,22396"
"72,34544"
"72,84637"
"82,21551"
"117,5353"
"78,06711"
"95,57012"
"76,55984"
"87,52918"
"83,42133"
"70,93536"
"86,39562"
"73,66579"
"79,59586"
"84,19868"
"80,39165"
"82,37318"
"71,4131"
"75,1552"
"72,0368"
"87,81501"
"90,98562"
"83,34661"
"77,2"
"75,22865"
"83,335"
"91,40185"
"76,29194"
"86,73333"
"94,72703"
"76,03278"
"72,18099"
"76,4127"
"73,03155"
"81,87728"
"71,77718"
"75,40741"
"82,48331"
"72,30663"
"100,6061"
"73,56617"
"86,48039"
"74,67175"
"90,11143"
"85,37868"
"90,01134"
"85,39747"
"75,01772"
"73,88011"
"85,80431"
"74,53001"
"87,78445"
"83,50435"
"87,31812"
"91,49194"
"75,95564"
"87,97675"
"85,74509"
"94,9461"
"108,5696"
"104,791"
"76,02446"
"75,94898"
"86,77666"
"87,65407"
"91,82362"
"79,84593"
"87,54787"
"72,62222"
"77,15418"
"90,46081"
"124,9695"
"86,52122"
"78,86743"
"80,12195"
"72,79498"
"78,75111"
"93,39831"
"72,60799"
"80,42736"
"91,18796"
"80,77113"
"81,93838"
"105,4436"
"79,73117"
"88,47007"
"92,0825"
"81,24265"
"82,8437"
"101,4834"
"105,1652"
"93,29185"
"83,39512"
"86,01424"
"89,52273"
"85,67265"
"77,11878"
"94,54918"
"103,4074"
"93,8892"
"83,8224"
"88,02865"
"100,3703"
"133,4484"
"135,6876"
"84,21074"
"79,93725"
"120,9146"
"98,22043"
"101,8709"
"78,81042"
"86,08895"
"90,40188"
"96,29333"
"76,6158"
"81,1745"
"84,78927"
"99,67204"
"76,2029"
"73,01585"
"91,21274"
"95,65737"
"89,02557"
"86,09582"
"78,10629"
"87,60309"
"91,5605"
"76,74286"
"78,12839"
"73,9874"
"88,8317"
"70,86236"
"72,29829"
"69,95461"
"80,71568"
"76,42008"
"81,7379"
"78,89341"
"85,54339"
"72,11612"
"84,63194"
"75,60508"
"75,71509"
"76,22486"
"77,88889"
"76,22832"
"75,40808"
"80,77369"
"99,33192"
"76,15643"
"89,56547"
"86,99221"
"85,18206"
"93,62212"
"90,30537"
"87,53717"
"68,67336"
"83,93535"
"70,61588"
"71,47575"
"62,19478"
"48,75026"
"94,32471"
"86,1275"
"64,54929"
"98,36128"
"49,24141"
"51,59187"
"56,13682"
"63,85306"
"48,00855"
"84,16613"
"87,43826"
"97,80928"
"112,9932"
"53,60481"
"110,9821"
"111,0022"
"57,29789"
"55,56674"
"82,03886"
"49,46372"
"103,2059"
"51,1203"
"62,79963"
"48,16903"
"50,83212"
"51,18876"
"56,75148"
"50,562"
"102,8549"
"84,55022"
"76,70329"
"60,46505"
"65,60922"
"94,33981"
"56,74007"
"47,65199"
"91,26141"
"59,39721"
"86,46527"
"50,22874"
"85,9188"
"93,46154"

"81,8227979"
